name,description,price,weight,volume
Bose QuietComfort 45,Wireless noise-canceling headphones,329.00,0.58,0.5
Apple MacBook Pro 16-inch,Laptop with M1 Pro chip and 16GB RAM,2399.00,4.7,1.6
Amazon Echo Show 10,10.1" smart display with motion tracking,249.99,2.56,0.9
Fujifilm Instax Mini 11,Instant camera with automatic exposure,69.99,0.61,4.8
Laptop Dell XPS 13,13-inch ultrabook with Intel Core i7,1399.99,2.7,0.9
Samsung Galaxy S21,6.2-inch smartphone with Snapdragon 888,999.00,0.17,0.25
Canon EOS Rebel T7i,DSLR camera with 24.2MP sensor,749.99,1.18,3.9
Apple AirPods Pro,Wireless earbuds with active noise cancellation,249.00,0.38,0.53
Samsung 55" QLED Q80A Series,4K Smart TV with Quantum HDR 12x,1299.99,42.3,2.5
PlayStation 5,Next-gen gaming console by Sony,499.99,4.5,4.1
Bose QuietComfort 45,Wireless noise-canceling headphones,329.00,0.58,0.5
Apple MacBook Pro 16-inch,Laptop with M1 Pro chip and 16GB RAM,2399.00,4.7,1.6
Amazon Echo Show 10,10.1" smart display with motion tracking,249.99,2.56,0.9
Fujifilm Instax Mini 11,Instant camera with automatic exposure,69.99,0.61,4.8
